City,Calendar Year,Quarter,Per Capita Sales,Total Taxable Sales
Adelanto,2023,4,195.82,7178329
Alameda,2023,4,57.3,4428565
Alameda County - Unincorporated,2023,4,,6210781
Antioch,2023,4,69.41,8013102
Arcata,2023,4,98.68,1844224
Atwater,2023,4,49.2,1545970
Bellflower,2023,4,95.37,7336300
Berkeley,2023,4,51.32,6341267
Calaveras County - Unincorporated,2023,4,,2642483
California City,2023,4,195.54,2899348
Cathedral City,2023,4,47.9,2463741
Chula Vista,2023,4,54.35,14936916
Coachella,2023,4,74.41,3159664
Corona,2023,4,48.32,7587085
Costa Mesa,2023,4,72.03,8009540
Crescent City,2023,4,214.32,1240959
Culver City,2023,4,105.89,4202242
Davis,2023,4,106.06,6798405
Desert Hot Springs,2023,4,134.93,4399833
El Dorado County - Unincorporated,2023,4,,4138219
El Monte,2023,4,67.33,7162851
Emeryville,2023,4,109.49,1380755
Eureka,2023,4,114.17,2984470
Fresno,2023,4,28.08,15259904
Goleta,2023,4,87.8,2848438
Hesperia,2023,4,3.53,353521
Humboldt County - Unincorporated,2023,4,,2602476
Imperial County - Unincorporated,2023,4,,4571443
Jurupa Valley,2023,4,144.47,15167302
La Mesa,2023,4,367.16,22183103
Lake County - Unincorporated,2023,4,,1243916
Lake Elsinore,2023,4,130.73,9409733
Lompoc,2023,4,112.75,4904050
Long Beach,2023,4,74.08,33948380
Los Angeles,2023,4,60.59,228214016
Maywood,2023,4,215.9,5299513
Mendocino County - Unincorporated,2023,4,,2163244
Merced,2023,4,75.83,6833599
Modesto,2023,4,49.75,10796762
Montebello,2023,4,26.59,1639743
Monterey County - Unincorporated,2023,4,,3961005
Moreno Valley,2023,4,51.74,10778943
Napa,2023,4,62.27,4783968
Needles,2023,4,1213.96,5773625
Oakland,2023,4,64.01,26857033
Oxnard,2023,4,24.74,4885924
Pacifica,2023,4,102.32,3794541
Palm Desert,2023,4,115.53,5847590
Palm Springs,2023,4,176.14,7766620
Pasadena,2023,4,39.26,5378347
Perris,2023,4,84.99,6710222
Pomona,2023,4,105.22,15754089
Port Hueneme,2023,4,432.97,9246653
Redding,2023,4,75.87,7015999
Redwood City,2023,4,74.82,6097488
Riverside County - Unincorporated,2023,4,,15690375
Sacramento,2023,4,129,66844537
Salinas,2023,4,32.35,5159221
San Bernardino,2023,4,95.47,21313237
San Diego,2023,4,36.79,50348614
San Diego County - Unincorporated,2023,4,,3839418
San Francisco,2023,4,59.91,49829909
San Jacinto,2023,4,111.99,6059162
San Jose,2023,4,44.93,43102845
San Leandro,2023,4,89.93,7868729
San Luis Obispo County - Unincorporated,2023,4,,2110936
San Rafael,2023,4,41.85,2497969
Santa Ana,2023,4,183,54833793
Santa Barbara,2023,4,68.25,5830474
Santa Cruz,2023,4,69.14,4371522
Santa Cruz County - Unincorporated,2023,4,,8149084
Santa Rosa,2023,4,78.49,13699760
Seaside,2023,4,138.39,4122819
Sonoma County - Unincorporated,2023,4,,2710477
South Lake Tahoe,2023,4,204.06,4193229
Stanislaus County - Unincorporated,2023,4,,3318817
Stanton,2023,4,98.81,3861925
Stockton,2023,4,43.27,13836299
Truckee,2023,4,52.44,874585
Undisclosed,2023,4,,202725670
Vallejo,2023,4,53.94,6562696
Vista,2023,4,276.56,27611330
West Hollywood,2023,4,210.66,7329550
Adelanto,2023,3,132.17,4845145
Alameda,2023,3,55.98,4327263
Antioch,2023,3,68.92,7957254
Arcata,2023,3,107.99,2018211
Atwater,2023,3,47.42,1490027
Bellflower,2023,3,103.08,7929639
Berkeley,2023,3,52.65,6505617
Calaveras County - Unincorporated,2023,3,,2993334
California City,2023,3,199.41,2956738
Cathedral City,2023,3,46.25,2378950
Chula Vista,2023,3,41.6,11432107
Cloverdale,2023,3,51.33,451041
Coachella,2023,3,66.43,2820957
Corona,2023,3,18.25,2866097
Costa Mesa,2023,3,68.73,7642321
Cotati,2023,3,897.22,6603566
Crescent City,2023,3,214.5,1241990
Culver City,2023,3,72.53,2878283
Davis,2023,3,102.65,6580005
Desert Hot Springs,2023,3,138.71,4523252
El Dorado County - Unincorporated,2023,3,,3804390
Emeryville,2023,3,112.45,1418094
Eureka,2023,3,127.33,3328383
Goleta,2023,3,84.93,2755340
Hesperia,2023,3,6.33,633801
Humboldt County - Unincorporated,2023,3,,2847078
Jurupa Valley,2023,3,144.51,15171932
La Mesa,2023,3,376.31,22736257
Lake County - Unincorporated,2023,3,,1137694
Lake Elsinore,2023,3,166.55,11987493
Lompoc,2023,3,110.23,4794464
Long Beach,2023,3,75.79,34729292
Los Angeles,2023,3,62.69,236124532
Los Angeles County - Unincorporated,2023,3,,236819
Maywood,2023,3,222.38,5458706
Mendocino County - Unincorporated,2023,3,,2507477
Merced,2023,3,74.93,6753231
Modesto,2023,3,50.8,11025515
Monterey County - Unincorporated,2023,3,,4170673
Moreno Valley,2023,3,38.96,8114991
Mount Shasta,2023,3,206.72,664621
Napa,2023,3,66.77,5129930
Needles,2023,3,1109.15,5275131
Oakland,2023,3,67.39,28275571
Oxnard,2023,3,13.49,2664943
Pacifica,2023,3,113.24,4199490
Palm Desert,2023,3,97.01,4910550
Palm Springs,2023,3,164.49,7252961
Perris,2023,3,98.39,7767842
Pomona,2023,3,103.01,15422811
Port Hueneme,2023,3,541.57,11565897
Redding,2023,3,79,7305391
Riverside County - Unincorporated,2023,3,,7619174
Sacramento,2023,3,131.47,68127063
Salinas,2023,3,34.18,5451542
San Bernardino,2023,3,84.43,18848058
San Diego,2023,3,43.55,59599540
San Diego County - Unincorporated,2023,3,,4006391
San Francisco,2023,3,65.91,54821692
San Jose,2023,3,49.14,47138157
San Leandro,2023,3,82.55,7223504
San Luis Obispo County - Unincorporated,2023,3,,2278386
San Rafael,2023,3,42.87,2558720
Santa Ana,2023,3,202.74,60749004
Santa Barbara,2023,3,71.49,6106844
Santa Cruz,2023,3,75.77,4790687
Santa Cruz County - Unincorporated,2023,3,,8440087
Santa Rosa,2023,3,80.99,14135526
Seaside,2023,3,148.99,4438600
Sonoma County - Unincorporated,2023,3,,4171534
South Lake Tahoe,2023,3,266.01,5466143
Stanislaus County - Unincorporated,2023,3,,4145953
Stockton,2023,3,42.88,13710871
Ukiah,2023,3,64.2,1022785
Undisclosed,2023,3,,250411959
Vallejo,2023,3,59.83,7279451
Vista,2023,3,296.16,29567205
West Hollywood,2023,3,219.83,7648724
Woodlake,2023,3,294.94,2274283
Adelanto,2023,2,131.17,4808419
Alameda,2023,2,58.08,4488968
Antioch,2023,2,73.31,8463493
Arcata,2023,2,109.73,2050748
Atwater,2023,2,55.27,1736780
Bellflower,2023,2,108.74,8365454
Berkeley,2023,2,55.49,6857520
Calaveras County - Unincorporated,2023,2,,2907065
California City,2023,2,208.92,3097676
Cathedral City,2023,2,56.52,2907479
Chula Vista,2023,2,40.84,11223355
Cloverdale,2023,2,52.6,462263
Coachella,2023,2,79.66,3382611
Costa Mesa,2023,2,45.52,5061934
Crescent City,2023,2,190.05,1100390
Culver City,2023,2,75.35,2990137
Davis,2023,2,108.76,6971420
Desert Hot Springs,2023,2,149.48,4874556
El Dorado County - Unincorporated,2023,2,,3714352
Emeryville,2023,2,92.09,1161314
Eureka,2023,2,118.83,3106291
Goleta,2023,2,81.22,2635056
Grover Beach,2023,2,409.73,5108186
Hesperia,2023,2,13.46,1346933
Humboldt County - Unincorporated,2023,2,,2842081
Jurupa Valley,2023,2,149.73,15719697
Kern County - Unincorporated,2023,2,,103441
La Mesa,2023,2,379.26,22914318
Lake County - Unincorporated,2023,2,,982693
Lake Elsinore,2023,2,188.33,13555363
Lompoc,2023,2,141.45,6152261
Long Beach,2023,2,79.74,36542935
Los Angeles,2023,2,66.99,252317929
Los Angeles County - Unincorporated,2023,2,,256324
Lynwood,2023,2,78.52,5200291
Maywood,2023,2,242.04,5941175
Mendocino County - Unincorporated,2023,2,,2437801
Merced,2023,2,70.94,6393583
Modesto,2023,2,52.69,11434392
Montebello,2023,2,143.04,8817790
Monterey County - Unincorporated,2023,2,,3940606
Moreno Valley,2023,2,44.23,9214055
Mount Shasta,2023,2,209.61,673909
Napa,2023,2,67.61,5194539
Needles,2023,2,1258.65,5986179
Oakland,2023,2,80.71,33865222
Pacifica,2023,2,111.94,4151288
Palm Desert,2023,2,124.87,6320476
Palm Springs,2023,2,204.97,9037821
Pasadena,2023,2,37.84,5184385
Perris,2023,2,111.05,8767326
Pomona,2023,2,102.32,15320763
Port Hueneme,2023,2,620.62,13254123
Redding,2023,2,80.17,7413735
Riverside County - Unincorporated,2023,2,,8191135
Sacramento,2023,2,132.37,68591207
Salinas,2023,2,34.9,5566843
San Bernardino,2023,2,86.84,19387247
San Diego,2023,2,44.16,60433383
San Diego County - Unincorporated,2023,2,,3987367
San Francisco,2023,2,65.93,54842489
San Jose,2023,2,49.72,47694550
San Leandro,2023,2,79.46,6952519
San Luis Obispo County - Unincorporated,2023,2,,3691368
San Rafael,2023,2,44.73,2670038
Santa Ana,2023,2,219.16,65669806
Santa Barbara,2023,2,72,6150900
Santa Barbara County - Unincorporated,2023,2,,1375056
Santa Cruz,2023,2,78.73,4978090
Santa Cruz County - Unincorporated,2023,2,,8755590
Santa Rosa,2023,2,80.19,13996497
Seaside,2023,2,139.92,4168263
Sonoma County - Unincorporated,2023,2,,4374495
South Lake Tahoe,2023,2,213.95,4396351
Stanislaus County - Unincorporated,2023,2,,5192838
Stockton,2023,2,42.19,13492567
Ukiah,2023,2,73.12,1164823
Undisclosed,2023,2,,251371446
Vallejo,2023,2,64.02,7789018
Vista,2023,2,334.24,33369804
West Hollywood,2023,2,212.13,7380942
Adelanto,2023,1,140,5131894
Alameda,2023,1,46.82,3618999
Antioch,2023,1,73.04,8432512
Arcata,2023,1,110.41,2063416
Atwater,2023,1,50.99,1602029
Bellflower,2023,1,107.7,8284811
Berkeley,2023,1,54.91,6785630
Calaveras County - Unincorporated,2023,1,,2575981
Calexico,2023,1,28.84,1116064
California City,2023,1,209,3098843
Cathedral City,2023,1,59.78,3074714
Chula Vista,2023,1,41.56,11421484
Cloverdale,2023,1,47.32,415874
Coachella,2023,1,77.45,3288903
Costa Mesa,2023,1,15.74,1750495
Crescent City,2023,1,144.58,837132
Culver City,2023,1,96.38,3824589
Davis,2023,1,106.72,6840466
Desert Hot Springs,2023,1,140.64,4586252
El Dorado County - Unincorporated,2023,1,,3625271
Emeryville,2023,1,94.67,1193812
Eureka,2023,1,108.24,2829449
Goleta,2023,1,89.8,2913591
Grover Beach,2023,1,417.33,5202968
Hesperia,2023,1,15.63,1564072
Humboldt County - Unincorporated,2023,1,,2283576
Jurupa Valley,2023,1,159.05,16698030
Kern County - Unincorporated,2023,1,,97089
La Mesa,2023,1,356.99,21568644
Lake County - Unincorporated,2023,1,,745831
Lake Elsinore,2023,1,182.45,13131511
Lompoc,2023,1,139.02,6046712
Long Beach,2023,1,79.1,36247345
Los Angeles,2023,1,64.07,241310315
Los Angeles County - Unincorporated,2023,1,,297249
Lynwood,2023,1,95.84,6347389
Maywood,2023,1,242.13,5943462
Mendocino County - Unincorporated,2023,1,,2207326
Modesto,2023,1,52.02,11289259
Monterey County - Unincorporated,2023,1,,3624465
Moreno Valley,2023,1,38.75,8073256
Mount Shasta,2023,1,180.99,581888
Napa,2023,1,55.45,4260010
Needles,2023,1,1154.3,5489860
Oakland,2023,1,84.74,35554829
Pacifica,2023,1,105.86,3925734
Palm Desert,2023,1,131.14,6637959
Palm Springs,2023,1,203.67,8980449
Perris,2023,1,115.48,9117332
Port Hueneme,2023,1,618.47,13208091
Redding,2023,1,80.63,7455972
Riverside County - Unincorporated,2023,1,,6723788
Sacramento,2023,1,131.83,68312933
Salinas,2023,1,34.87,5561688
San Bernardino,2023,1,87.41,19514306
San Diego,2023,1,44.25,60552224
San Diego County - Unincorporated,2023,1,,3448939
San Francisco,2023,1,64.59,53723787
San Jose,2023,1,49.65,47634003
San Leandro,2023,1,74.89,6553050
San Luis Obispo County - Unincorporated,2023,1,,1687118
San Rafael,2023,1,49.16,2934102
Santa Ana,2023,1,215.84,64673898
Santa Barbara,2023,1,70.38,6011811
Santa Cruz,2023,1,71.47,4518957
Santa Cruz County - Unincorporated,2023,1,,7752704
Santa Rosa,2023,1,70.67,12334729
Seaside,2023,1,128.93,3840951
Sonoma County - Unincorporated,2023,1,,4280988
South Lake Tahoe,2023,1,220.5,4530945
Stanislaus County - Unincorporated,2023,1,,5186900
Stockton,2023,1,42.19,13491287
Ukiah,2023,1,74.08,1180059
Undisclosed,2023,1,,265607185
Vallejo,2023,1,61.38,7468330
Vista,2023,1,268.6,26815705
West Hollywood,2023,1,206.5,7185091
Alameda,2022,4,43.41,3361855
Antioch,2022,4,72.69,8313129
Arcata,2022,4,121.6,2184089
Atwater,2022,4,51.45,1627320
Bellflower,2022,4,111.74,8675404
Berkeley,2022,4,57.28,7056809
Calaveras County - Unincorporated,2022,4,,2398041
Calexico,2022,4,29.24,1130429
California City,2022,4,203.28,3048315
Cathedral City,2022,4,70.26,3626970
Chula Vista,2022,4,43.97,12053721
Cloverdale,2022,4,51.77,459226
Coachella,2022,4,75.55,3168528
Cotati,2022,4,784.73,5814874
Crescent City,2022,4,134.86,816469
Culver City,2022,4,110.25,4407054
Davis,2022,4,109.91,7124192
Desert Hot Springs,2022,4,145.17,4702026
El Dorado County - Unincorporated,2022,4,,3775695
Emeryville,2022,4,113.92,1421585
Eureka,2022,4,112.52,2987744
Goleta,2022,4,95.91,3105337
Grover Beach,2022,4,449.7,5676648
Hesperia,2022,4,35.69,3564783
Humboldt County - Unincorporated,2022,4,,2634231
Imperial County - Unincorporated,2022,4,,6220440
Irvine,2022,4,0.2,62086
Jurupa Valley,2022,4,171.14,17996079
Kern County - Unincorporated,2022,4,,111232
La Mesa,2022,4,365.15,21997077
Lake County - Unincorporated,2022,4,,643659
Lake Elsinore,2022,4,217.13,15631117
Lompoc,2022,4,144.14,6304064
Long Beach,2022,4,81.38,37454987
Los Angeles,2022,4,68.35,259942996
Los Angeles County - Unincorporated,2022,4,,551267
Lynwood,2022,4,108,7192731
Maywood,2022,4,232.38,5758323
Mendocino County - Unincorporated,2022,4,,2506585
Merced,2022,4,80.54,7140913
Modesto,2022,4,53.52,11653276
Montebello,2022,4,67.72,4185691
Monterey County - Unincorporated,2022,4,,4237470
Moreno Valley,2022,4,46.48,9683101
Mount Shasta,2022,4,208.89,665965
Napa,2022,4,58.51,4537099
Needles,2022,4,1266.23,6069047
Oakland,2022,4,92.95,39209670
Pacifica,2022,4,112.87,4202923
Palm Desert,2022,4,137.95,6984129
Palm Springs,2022,4,203.08,8969391
Perris,2022,4,127.36,9994672
Port Hueneme,2022,4,673.87,14523389
Redding,2022,4,90.11,8385611
Riverside County - Unincorporated,2022,4,,10123208
Sacramento,2022,4,137.15,70904936
Salinas,2022,4,36.02,5754150
San Bernardino,2022,4,90.41,19937767
San Diego,2022,4,46.66,64058029
San Diego County - Unincorporated,2022,4,,3530126
San Francisco,2022,4,73.97,61921414
San Jose,2022,4,51.86,49980372
San Leandro,2022,4,82.07,7228516
San Luis Obispo,2022,4,102.91,4862240
San Luis Obispo County - Unincorporated,2022,4,,1612149
San Rafael,2022,4,51.64,3111084
Santa Ana,2022,4,219.74,66860387
Santa Barbara,2022,4,75.78,6539046
Santa Cruz,2022,4,75.25,4775302
Santa Cruz County - Unincorporated,2022,4,,7825868
Santa Rosa,2022,4,72.71,12749973
Seaside,2022,4,133.34,4282267
Sonoma County - Unincorporated,2022,4,,4517557
South Lake Tahoe,2022,4,198.71,4118833
Stanislaus County - Unincorporated,2022,4,,5368889
Stockton,2022,4,44.74,14404977
Ukiah,2022,4,81.11,1302059
Undisclosed,2022,4,,243468184
Vallejo,2022,4,58.84,7246497
Vista,2022,4,287.82,28775965
West Hollywood,2022,4,202.95,7089205
Willits,2022,4,109.92,539311
Alameda,2022,3,37.68,2917839
Antioch,2022,3,90.1,10304848
Arcata,2022,3,124.11,2229032
Atwater,2022,3,49.24,1557677
Bellflower,2022,3,107.55,8350068
Berkeley,2022,3,60.69,7476604
Calaveras County - Unincorporated,2022,3,,2693745
Calexico,2022,3,36.15,1397381
California City,2022,3,204.61,3068217
Cathedral City,2022,3,54.95,2837024
Chula Vista,2022,3,40.91,11214888
Cloverdale,2022,3,52.03,461532
Coachella,2022,3,66.6,2793068
Culver City,2022,3,96.98,3876740
Davis,2022,3,104.87,6797658
Desert Hot Springs,2022,3,143.66,4653296
El Dorado County - Unincorporated,2022,3,,3720830
Emeryville,2022,3,116.39,1452356
Eureka,2022,3,114.52,3040858
Goleta,2022,3,90.67,2935655
Grover Beach,2022,3,491.29,6201671
Hesperia,2022,3,21.32,2129407
Humboldt County - Unincorporated,2022,3,,3316352
Irvine,2022,3,0.28,87781
Jurupa Valley,2022,3,149.07,15675365
Kern County - Unincorporated,2022,3,,215331
La Mesa,2022,3,347.07,20907920
Lake County - Unincorporated,2022,3,,506633
Lake Elsinore,2022,3,223.37,16080679
Lompoc,2022,3,139.89,6117938
Long Beach,2022,3,78.2,35994805
Los Angeles,2022,3,63.46,241341222
Los Angeles County - Unincorporated,2022,3,,685301
Lynwood,2022,3,118.85,7915380
Maywood,2022,3,237.88,5894548
Mendocino County - Unincorporated,2022,3,,2979113
Modesto,2022,3,51.83,11284714
Montebello,2022,3,55.77,3446964
Monterey County - Unincorporated,2022,3,,4677771
Moreno Valley,2022,3,39,8125307
Mount Shasta,2022,3,256.55,817895
Napa,2022,3,50.52,3917706
Needles,2022,3,1171.09,5613043
Oakland,2022,3,94.84,40004279
Pacifica,2022,3,108.57,4042938
Palm Desert,2022,3,128.66,6513570
Palm Springs,2022,3,175.93,7770180
Perris,2022,3,132.04,10362457
Port Hueneme,2022,3,698.38,15051595
Redding,2022,3,93.52,8702902
Riverside County - Unincorporated,2022,3,,3798909
Sacramento,2022,3,137.8,71237172
Salinas,2022,3,36.69,5862017
San Bernardino,2022,3,84.22,18573716
San Diego,2022,3,47,64536359
San Diego County - Unincorporated,2022,3,,3276224
San Francisco,2022,3,68.42,57276182
San Jose,2022,3,51.54,49680799
San Luis Obispo,2022,3,97.76,4619078
San Luis Obispo County - Unincorporated,2022,3,,1569601
San Rafael,2022,3,53.24,3207346
Santa Ana,2022,3,222.37,67658946
Santa Barbara,2022,3,73.67,6356645
Santa Cruz,2022,3,82.44,5231439
Santa Cruz County - Unincorporated,2022,3,,7819276
Santa Rosa,2022,3,72.03,12630766
Seaside,2022,3,144.35,4636120
Sonoma County - Unincorporated,2022,3,,4635080
South Lake Tahoe,2022,3,256.99,5326640
Stanislaus County - Unincorporated,2022,3,,5578754
Stockton,2022,3,43.29,13936917
Ukiah,2022,3,75.23,1207750
Undisclosed,2022,3,,250043661
Vallejo,2022,3,64.97,8002027
Vista,2022,3,282.63,28257608
West Hollywood,2022,3,189.05,6603612
Adelanto,2022,2,142.36,5184899
Alameda,2022,2,39.79,3081893
Antioch,2022,2,95.95,10973955
Arcata,2022,2,151.56,2722158
Atwater,2022,2,53.93,1705794
Bellflower,2022,2,105.74,8209946
Berkeley,2022,2,83.98,10345556
Calaveras County - Unincorporated,2022,2,,2907756
Calexico,2022,2,48.29,1866793
California City,2022,2,202.64,3038643
Cathedral City,2022,2,71.84,3708700
Chula Vista,2022,2,36.48,10000910
Cloverdale,2022,2,54.59,484178
Coachella,2022,2,84.51,3544143
Culver City,2022,2,198.83,7947952
Davis,2022,2,119.8,7765207
Desert Hot Springs,2022,2,161.18,5220673
El Dorado County - Unincorporated,2022,2,,3839097
Emeryville,2022,2,137.92,1721047
Eureka,2022,2,131.27,3485581
Goleta,2022,2,102.48,3317961
Grover Beach,2022,2,513.34,6479953
Hesperia,2022,2,24.66,2463371
Humboldt County - Unincorporated,2022,2,,3014451
Jurupa Valley,2022,2,184.38,19388495
Kern County - Unincorporated,2022,2,,430330
La Mesa,2022,2,413.57,24913852
Lake Elsinore,2022,2,234.68,16894652
Lompoc,2022,2,154.55,6759038
Long Beach,2022,2,79.1,36407756
Los Angeles,2022,2,68.53,260621685
Los Angeles County - Unincorporated,2022,2,,702116
